"id_mapeo_nivel_patner";"nivel_patner_postulacion";"nivel_patner_alianza"
3;"B";"NIVEL UNO"
13;"C";"NIVEL DOS"
23;"P";"PREMIUM"
33;"S";"VIP"
43;"L";"ECONOMICO"
53;"T";"TRABAJADORES"
